Number,GroupDay,Place,DescriptionStep,CodiceTrip,CodiceCreatore,NumberDay,PrecisionInformation
1,0,"Firenze, Florence, Italy","bella città",67,5,0,"informazioni piu precise"
1,0,"Vienna, Austria","bel posto",68,7,0,"informazioni piu precise"
1,0,"Colosseo, Piazza del Colosseo, Roma, Rome 00184, Italy","Posto Incantevole bellissimo vista da dio",69,6,0,"informazioni piu precise"
1,0,"Roma, Rome, Italy",NULL,70,6,0,"informazioni piu precise"
2,0,Thailand,"vicina e probabile",67,5,0,"informazioni piu precise"
2,0,"Schönbrunner Panorama Bahn, Schonbrunner, Hietzing, Vienna 1130, Austria","divertente motlo bella la vista",68,7,0,"informazioni piu precise"
2,0,"Foro della Pace, Via dei Fori Imperiali, Roma, Rome 00186, Italy",test,69,6,0,"informazioni piu precise"
2,0,"Colosseo, Piazza del Colosseo, Roma, Rome 00184, Italy","colosseo	",70,6,0,"informazioni piu precise"
3,1,"Cracow City Tours, Matejki 2, Kraków, Lesser Poland Voivodeship 31-157, Poland",NULL,68,7,0,"informazioni piu precise"
3,1,"Firenze, Florence, Italy","citta bellissima da amare ",69,6,0,"informazioni piu precise"
3,0,"Musei Capitolini, Piazza del Campidoglio 1, Roma, Rome 00186, Italy",NULL,70,6,0,"informazioni piu precise"
4,1,"Giardino di Boboli, Via del Forte di San Giorgio, Firenze, Florence 50125, Italy","entrata costo 10 euro",69,6,0,"informazioni piu precise"
4,0,"Pincio, Via Capo Le Case 50, Roma, Rome 00187, Italy",fdsagasg,70,6,0,"informazioni piu precise"
5,1,"Musei Capitolini, Piazza del Campidoglio 1, Roma, Rome 00186, Italy",test,69,6,0,"informazioni piu precise"
5,0,"Gianicolo, Roma, Rome 00165, Italy",rrefag,70,6,0,"informazioni piu precise"
